customer,frequency,recency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass
Becky Castell,9,202,2934,4,1,2,412
Becky Martin,4,307,11790,4,4,1,441
Becky Pak,6,89,1698,3,3,3,333
Ben Ferrer,11,16,5907,1,1,1,111
Ben Peterman,9,1,3675,1,1,2,112
Ben Wallace,6,203,1739,4,3,3,433
Benjamin Farhat,4,65,1586,2,4,3,243
Benjamin Patterson,5,39,1182,2,4,3,243
Benjamin Venier,5,334,1522,4,4,3,443
Berenike Kampe,6,77,660,3,3,4,334
Beth Fritzler,3,57,792,2,4,4,244
Beth Paige,7,12,2474,1,2,2,122
Beth Thompson,5,336,2568,4,4,2,442
Bill Donatelli,12,33,5719,2,1,1,211
Bill Eplett,5,119,4205,3,4,1,341
Bill Overfelt,5,137,2684,3,4,2,342
Bill Shonely,5,558,10502,4,4,1,441
Bill Stewart,5,28,3888,1,4,1,141
Bill Tyler,6,302,2187,4,3,3,433
Bobby Elias,5,98,2262,3,4,2,342
Bobby Odegard,2,75,131,2,4,4,244
Bobby Trafton,4,560,604,4,4,4,444
Brad Eason,6,254,1727,4,3,3,433
Brad Norvell,4,24,266,1,4,4,144
Brad Thomas,2,659,415,4,4,4,444
Bradley Drucker,6,35,4411,2,3,1,231
Bradley Nguyen,5,9,1460,1,4,3,143
Bradley Talbott,5,91,2685,3,4,2,342
Brenda Bowman,9,28,6766,1,1,1,111
Brendan Dodson,2,278,321,4,4,4,444
Brendan Murry,6,100,809,3,3,4,334
Brendan Sweed,6,35,2454,2,3,2,232
Brian Dahlen,7,97,3289,3,2,2,322
Brian DeCherney,6,69,1539,2,3,3,233
Brian Derr,3,9,583,1,4,4,144
Brian Moss,11,33,7295,2,1,1,211
Brian Stugart,3,582,3288,4,4,2,442
Brian Thompson,7,20,3196,1,2,2,122
Brooke Gillingham,6,36,1873,2,3,3,233
Brosina Hoffman,8,23,6255,1,2,1,121
Bruce Degenhardt,6,93,1527,3,3,3,333
Bruce Geld,6,57,1006,2,3,4,234
Bruce Stewart,7,1,2563,1,2,2,122
Bryan Davis,6,327,658,4,3,4,434
Bryan Mills,10,218,1339,4,1,3,413
Bryan Spruell,2,265,950,4,4,4,444
Candace McMahon,6,131,1674,3,3,3,333
Cari Sayre,5,91,1279,3,4,3,343
Cari Schnelling,6,162,537,3,3,4,334
Carl Jackson,1,365,17,4,4,4,444
Carl Ludwig,4,106,1263,3,4,3,343
Carl Weiss,6,22,1138,1,3,4,134
Carlos Daly,5,40,2035,2,4,3,243
Carlos Meador,2,708,565,4,4,4,444
Carlos Soltero,11,25,3038,1,1,2,112
Carol Adams,6,96,3790,3,3,1,331
Carol Darley,3,54,640,2,4,4,244
Carol Triggs,8,96,3242,3,2,2,322
Caroline Jumper,8,189,11166,4,2,1,421
Cassandra Brandow,10,47,6076,2,1,1,211
Catherine Glotzbach,6,49,905,2,3,4,234
Cathy Armstrong,5,401,1680,4,4,3,443
Cathy Hwang,3,691,1537,4,4,3,443
Cathy Prescott,8,82,5402,3,2,1,321
Chad Cunningham,6,457,1771,4,3,3,433
Chad McGuire,4,8,1662,1,4,3,143
Chad Sievert,4,489,885,4,4,4,444
Charles Crestani,7,106,2472,3,2,2,322
Charles McCrossin,6,26,2533,1,3,2,132
Charles Sheldon,5,232,844,4,4,4,444
Charlotte Melton,6,8,1475,1,3,3,133
Chloris Kastensmidt,13,39,3157,2,1,2,212
Chris Cortes,12,20,3913,1,1,1,111
Chris McAfee,5,385,2307,4,4,2,442
Chris Selesnick,12,26,2754,1,1,2,112
Christina Anderson,9,56,2648,2,1,2,212
Christina DeMoss,2,42,1206,2,4,3,243
Christina VanderZanden,5,254,2830,4,4,2,442
Christine Abelman,4,13,1422,1,4,3,143
Christine Kargatis,5,120,2946,3,4,2,342
Christine Phan,8,160,5889,3,2,1,321
Christine Sundaresam,11,6,3202,1,1,2,112
Christopher Conant,5,43,12129,2,4,1,241
Christopher Martinez,4,37,8953,2,4,1,241
Christopher Schild,9,2,3651,1,1,2,112
Christy Brittain,8,26,1950,1,2,3,123
Chuck Clark,10,0,2870,1,1,2,112
Chuck Magee,3,436,288,4,4,4,444
Chuck Sachs,2,27,551,1,4,4,144
Cindy Chapman,9,39,1660,2,1,3,213
Cindy Schnelling,4,424,1077,4,4,4,444
Cindy Stewart,6,58,5691,2,3,1,231
Claire Gute,3,338,1149,4,4,3,443
Claudia Bergmann,8,197,4246,4,2,1,421
Clay Cheatham,3,27,113,1,4,4,144
Clay Ludtke,12,284,10879,4,1,1,411
Clay Rozendal,4,57,2149,2,4,3,243
Clytie Kelty,11,43,2373,2,1,2,212
Corey Catlett,7,34,2541,2,2,2,222
Corey Roper,3,470,476,4,4,4,444
Corey-Lock,5,549,1300,4,4,3,443
Corinna Mitchell,6,27,6339,1,3,1,131
Craig Carreira,7,29,2270,1,2,2,122
Craig Carroll,4,799,2854,4,4,2,442
Craig Leslie,5,105,2353,3,4,2,342
Craig Molinari,4,1035,3985,4,4,1,441
Craig Reiter,4,78,1600,3,4,3,343
Craig Yedwab,8,60,2900,2,2,2,222
Cyma Kinney,9,82,1581,3,1,3,313
Cynthia Arntzen,7,120,3041,3,2,2,322
Cynthia Delaney,5,399,1859,4,4,3,443
Cynthia Voltz,9,5,2370,1,1,2,112
Cyra Reiten,3,85,1398,3,4,3,343
Damala Kotsonis,12,21,3256,1,1,2,112
Dan Campbell,9,37,3335,2,1,2,212
Dan Lawera,8,100,1503,3,2,3,323
Dan Reichenbach,9,3,6528,1,1,1,111
Dana Kaydos,5,45,4282,2,4,1,241
Daniel Byrd,8,21,2172,1,2,3,123
Daniel Lacy,6,57,3273,2,3,2,232
Daniel Raglin,8,50,8351,2,2,1,221
Dario Medina,7,114,1322,3,2,3,323
Darren Budd,5,241,2840,4,4,2,442
Darren Koutras,5,7,1687,1,4,3,143
Darren Powers,9,126,1052,3,1,4,314
Darrin Martin,7,57,6346,2,2,1,221
Darrin Sayre,4,93,1762,3,4,3,343
Darrin Van Huff,5,19,1121,1,4,4,144
Dave Brooks,7,16,4532,1,2,1,121
Dave Hallsten,6,277,4934,4,3,1,431
Dave Kipp,7,42,2652,2,2,2,222
Dave Poirier,8,6,2215,1,2,3,123
David Bremer,7,48,2974,2,2,2,222
David Flashing,3,700,2391,4,4,2,442
David Kendrick,2,10,798,1,4,4,144
David Philippe,2,812,1059,4,4,4,444
David Smith,9,23,2881,1,1,2,112
David Wiener,6,69,1080,2,3,4,234
Dean Braden,10,9,2333,1,1,2,112
Dean Katz,9,10,4801,1,1,1,111
Dean percer,11,84,7199,3,1,1,311
Deanra Eno,5,719,2550,4,4,2,442
Deborah Brumfield,8,53,4656,2,2,1,221
Debra Catini,5,23,1174,1,4,3,143
Deirdre Greer,5,32,3195,2,4,2,242
Delfina Latchford,8,22,1459,1,2,3,123
Denise Leinenbach,4,57,584,2,4,4,244
Denise Monton,8,22,4075,1,2,1,121
Dennis Bolton,5,264,1081,4,4,4,444
Dennis Kane,8,19,3317,1,2,2,122
Dennis Pardue,9,358,5482,4,1,1,411
Denny Blanton,4,187,1711,4,4,3,443
Denny Joy,4,637,2012,4,4,3,443
Denny Ordway,9,133,1299,3,1,3,313
Dianna Arnett,4,352,158,4,4,4,444
Dianna Vittorini,6,29,3342,1,3,2,132
Dianna Wilson,5,217,5272,4,4,1,441
Dionis Lloyd,8,76,3540,3,2,2,322
Don Jones,8,48,2502,2,2,2,222
Don Miller,3,481,1377,4,4,3,443
Don Weiss,5,98,343,3,4,4,344
Dorothy Badders,7,107,3908,3,2,1,321
Dorothy Dickinson,6,41,269,2,3,4,234
Dorothy Wardle,7,242,1205,4,2,3,423
Dorris liebe,5,119,756,3,4,4,344
Doug Bickford,7,33,1988,2,2,3,223
Doug Jacobs,3,12,3357,1,4,2,142
Doug O'Connell,7,26,1268,1,2,3,123
Duane Benoit,7,12,1156,1,2,3,123
Duane Huffman,4,776,1043,4,4,4,444
Duane Noonan,7,217,2139,4,2,3,423
Ed Braxton,9,48,3645,2,1,2,212
Ed Jacobs,4,302,2163,4,4,3,443
Ed Ludwig,2,77,125,3,4,4,344
Edward Becker,10,35,3236,2,1,2,212
Edward Hooks,12,135,10311,3,1,1,311
Edward Nazzal,4,287,2200,4,4,3,443
Eileen Kiefer,4,44,1302,2,4,3,243
Eleni McCrary,5,132,2567,3,4,2,342
Elizabeth Moffitt,8,55,2340,2,2,2,222
Ellis Ballard,5,90,4359,3,4,1,341
Elpida Rittenbach,3,421,1246,4,4,3,443
Emily Burns,10,100,2768,3,1,2,312
Emily Ducich,8,135,3486,3,2,2,322
Emily Grady,5,22,1832,1,4,3,143
Emily Phan,17,12,5479,1,1,1,111
Eric Barreto,5,161,944,3,4,4,344
Eric Hoffmann,8,217,684,4,2,4,424
Eric Murdock,5,151,934,3,4,4,344
Erica Bern,4,0,1644,1,4,3,143
Erica Hackney,6,405,826,4,3,4,434
Erica Hernandez,7,2,1220,1,2,3,123
Erica Smith,5,40,3511,2,4,2,242
Erin Ashbrook,13,152,2847,3,1,2,312
Erin Creighton,5,53,462,2,4,4,244
Erin Mull,4,47,229,2,4,4,244
Erin Smith,9,28,4659,1,1,1,111
Eudokia Martin,4,113,1040,3,4,4,344
Eugene Barchas,6,113,3072,3,3,2,332
Eugene Hildebrand,10,152,3083,3,1,2,312
Eugene Moren,6,48,4589,2,3,1,231
Eva Jacobs,5,57,2657,2,4,2,242
Evan Bailliet,6,82,1187,3,3,3,333
Evan Henry,6,105,924,3,3,4,334
Evan Minnotte,3,158,367,3,4,4,344
Filia McAdams,10,7,2456,1,1,2,112
Frank Atkinson,7,97,2983,3,2,2,322
Frank Carlisle,7,70,3419,2,2,2,222
Frank Gastineau,7,34,1383,2,2,3,223
Frank Hawley,10,37,4256,2,1,1,211
Frank Merwin,9,36,3737,2,1,2,212
Frank Olsen,10,38,2680,2,1,2,212
Frank Preis,8,23,4047,1,2,1,121
Fred Chung,7,184,3889,4,2,1,421
Fred Harton,4,212,2271,4,4,2,442
Fred Hopkins,8,5,6987,1,2,1,121
Fred McMath,9,145,2523,3,1,2,312
Fred Wasserman,3,362,81,4,4,4,444
Gary Hansen,9,75,2819,2,1,2,212
Gary Hwang,4,50,4174,2,4,1,241
Gary McGarr,7,83,3584,3,2,2,322
Gary Mitchum,6,16,3078,1,3,2,132
Gary Zandusky,9,7,4354,1,1,1,111
Gene Hale,2,387,1361,4,4,3,443
Gene McClure,10,106,1255,3,1,3,313
George Ashbrook,8,149,3921,3,2,1,321
George Bell,11,62,1570,2,1,3,213
George Zrebassa,4,157,2454,3,4,2,342
Georgia Rosenberg,2,1136,1284,4,4,3,443
Giulietta Baptist,5,13,4716,1,4,1,141
Giulietta Dortch,4,5,1888,1,4,3,143
Giulietta Weimer,7,28,2190,1,2,3,123
Grace Kelly,9,112,6499,3,1,1,311
Grant Thornton,3,56,9350,2,4,1,241
Greg Guthrie,9,43,2223,2,1,3,213
Greg Hansen,2,2,147,1,4,4,144
Greg Matthias,6,152,3164,3,3,2,332
Greg Maxwell,3,117,6050,3,4,1,341
Greg Tran,11,36,11820,2,1,1,211
Guy Armstrong,11,5,1398,1,1,3,113
Guy Phonely,2,765,237,4,4,4,444
Guy Thornton,4,34,227,2,4,4,244
Hallie Redmond,5,13,1299,1,4,3,143
Harold Dahlen,3,769,251,4,4,4,444
Harold Engle,4,12,884,1,4,4,144
Harold Pawlan,7,30,1990,1,2,3,123
Harold Ryan,7,159,5249,3,2,1,321
Harry Greene,5,54,785,2,4,4,244
Harry Marie,10,2,8237,1,1,1,111
Heather Jas,5,126,359,3,4,4,344
Heather Kirkland,8,151,4878,3,2,1,321
Helen Abelman,7,69,2163,2,2,3,223
Helen Andreada,8,20,2583,1,2,2,122
Helen Wasserman,8,117,9299,3,2,1,321
Henia Zydlo,5,35,886,2,4,4,244
Henry Goldwyn,12,23,3249,1,1,2,112
Henry MacAllister,4,247,737,4,4,4,444
Herbert Flentye,7,21,2533,1,2,2,122
Hilary Holden,2,72,218,2,4,4,244
Hunter Glantz,7,6,3690,1,2,2,122
Hunter Lopez,6,43,12874,2,3,1,231
Ionia McGrath,3,409,2872,4,4,2,442
Irene Maddox,7,390,4931,4,2,1,421
Ivan Gibson,4,71,744,2,4,4,244
Ivan Liston,7,142,5040,3,2,1,321
Jack Garza,3,758,2358,4,4,2,442
Jack Lebron,6,8,1215,1,3,3,133
Jack O'Briant,9,57,3256,2,1,2,212
James Galang,11,1,6367,1,1,1,111
James Lanier,5,6,1572,1,4,3,143
Jamie Frazer,7,65,2279,2,2,2,222
Jamie Kunitz,5,61,4427,2,4,1,241
Jane Waco,6,42,7722,2,3,1,231
Janet Lee,5,119,2203,3,4,3,343
Janet Martin,6,37,3159,2,3,2,232
Janet Molinari,5,37,1804,2,4,3,243
Jas O'Carroll,6,92,1935,3,3,3,333
Jason Fortune-,5,225,955,4,4,4,444
Jason Gross,6,2,2241,1,3,3,133
Jason Klamczynski,3,287,384,4,4,4,444
Jasper Cacioppo,4,114,72,3,4,4,344
Jay Fein,6,105,1913,3,3,3,333
Jay Kimmel,8,44,2710,2,2,2,222
Jenna Caffey,1,175,1058,3,4,4,344
Jennifer Braxton,10,7,1792,1,1,3,113
Jennifer Ferguson,6,2,2372,1,3,2,132
Jennifer Halladay,4,5,310,1,4,4,144
Jennifer Jackson,5,483,710,4,4,4,444
Jennifer Patt,7,37,1669,2,2,3,223
Jeremy Ellison,6,193,1388,4,3,3,433
Jeremy Farry,11,121,1082,3,1,4,314
Jeremy Lonsdale,6,49,3173,2,3,2,232
Jeremy Pistek,7,8,3636,1,2,2,122
Jessica Myrick,7,102,1733,3,2,3,323
Jesus Ocampo,5,215,1091,4,4,4,444
Jill Fjeld,8,54,4198,2,2,1,221
Jill Matthias,5,0,304,1,4,4,144
Jill Stevenson,4,119,1418,3,4,3,343
Jim Epp,7,48,7755,2,2,1,221
Jim Karlsson,7,61,3761,2,2,2,222
Jim Kriz,9,180,4762,3,1,1,311
Jim Mitchum,5,8,865,1,4,4,144
Jim Radford,2,593,1157,4,4,3,443
Jim Sink,4,42,1131,2,4,4,244
Jocasta Rupert,1,68,864,2,4,4,244
Joe Elijah,10,46,8698,2,1,1,211
Joe Kamberova,10,84,4866,3,1,1,311
Joel Eaton,13,51,6761,2,1,1,211
Joel Jenkins,2,753,195,4,4,4,444
John Castell,9,158,2773,3,1,2,312
John Dryer,5,117,2153,3,4,3,343
John Grady,6,223,1507,4,3,3,433
John Huston,6,174,529,3,3,4,334
John Lee,11,21,9801,1,1,1,111
John Lucas,6,614,2725,4,3,2,432
John Murray,7,109,7624,3,2,1,321
John Stevenson,5,534,3868,4,4,1,441
Jonathan Doherty,11,394,7610,4,1,1,411
Jonathan Howell,7,41,959,2,2,4,224
Joni Blumstein,3,737,900,4,4,4,444
Joni Sundaresam,5,463,470,4,4,4,444
Joni Wasserman,7,5,1243,1,2,3,123
Joseph Airdo,8,92,6492,3,2,1,321
Joseph Holt,6,29,7955,1,3,1,131
Joy Bell-,7,43,644,2,2,4,224
Joy Daniels,6,112,386,3,3,4,334
Joy Smith,6,28,2517,1,3,2,132
Julia Barnett,5,7,2518,1,4,2,142
Julia Dunbar,3,300,696,4,4,4,444
Julia West,4,461,1429,4,4,3,443
Juliana Krohn,3,28,3748,1,4,2,142
Julie Creighton,5,57,858,2,4,4,244
Julie Kriz,10,117,2934,3,1,2,312
Julie Prescott,9,102,1707,3,1,3,313
Justin Deggeller,8,41,8828,2,2,1,221
Justin Ellison,3,20,2698,1,4,2,142
Justin Hirsh,4,404,2257,4,4,3,443
Justin MacKendrick,10,57,2834,2,1,2,212
Justin Ritter,5,33,2202,2,4,3,243
Kalyca Meade,6,14,2260,1,3,2,132
Karen Bern,7,4,3153,1,2,2,122
Karen Carlisle,6,407,2121,4,3,3,433
Karen Daniels,5,484,8282,4,4,1,441
Karen Ferguson,7,97,10605,3,2,1,321
Karen Seio,3,295,89,4,4,4,444
Karl Braun,9,296,1570,4,1,3,413
Katharine Harms,8,40,3313,2,2,2,222
Katherine Ducich,6,41,1889,2,3,3,233
Katherine Hughes,6,1,3101,1,3,2,132
Katherine Murray,8,56,5620,2,2,1,221
Katherine Nockton,9,19,2618,1,1,2,112
Katrina Bavinger,3,117,909,3,4,4,344
Katrina Edelman,8,26,1686,1,2,3,123
Katrina Willman,5,96,4417,3,4,1,341
Kean Nguyen,5,52,2172,2,4,3,243
Kean Takahito,7,391,3059,4,2,2,422
Kean Thornton,10,100,4643,3,1,1,311
Keith Dawkins,12,112,8182,3,1,1,311
Keith Herrera,7,22,5953,1,2,1,121
Kelly Andreada,7,36,1520,2,2,3,223
Kelly Collister,4,97,3908,3,4,1,341
Kelly Lampkin,8,16,5016,1,2,1,121
Kelly Williams,4,771,449,4,4,4,444
Ken Black,12,230,2746,4,1,2,412
Ken Brennan,7,1,984,1,2,4,124
Ken Dana,5,289,2244,4,4,3,443
Ken Heidel,9,58,3919,2,1,1,211
Ken Lonsdale,12,47,14174,2,1,1,211
Khloe Miller,5,15,454,1,4,4,144
Kimberly Carter,4,57,1145,2,4,4,244
Kristen Hastings,7,2,5991,1,2,1,121
Kristina Nunn,8,98,2281,3,2,2,322
Kunst Miller,8,28,4909,1,2,1,121
Larry Blacks,3,48,50,2,4,4,244
Larry Hughes,3,151,288,3,4,4,344
Larry Tron,3,26,330,1,4,4,144
Laura Armstrong,11,154,8675,3,1,1,311
Laurel Beltran,8,152,4987,3,2,1,321
Laurel Elliston,6,21,1469,1,3,3,133
Laurel Workman,5,88,2238,3,4,3,343
Lauren Leatherbury,6,249,2741,4,3,2,432
Lela Donovan,1,552,5,4,4,4,444
Lena Cacioppo,8,27,2580,1,2,2,122
Lena Creighton,12,16,7661,1,1,1,111
Lena Hernandez,9,21,2296,1,1,2,112
Lena Radford,6,26,5142,1,3,1,131
Linda Cazamias,8,41,4492,2,2,1,221
Linda Southworth,6,178,2845,3,3,2,332
Lindsay Castell,4,436,3247,4,4,2,442
Lindsay Shagiari,9,20,2988,1,1,2,112
Lindsay Williams,6,33,3231,2,3,2,232
Lisa DeCherney,4,414,1962,4,4,3,443
Lisa Hazard,4,239,318,4,4,4,444
Lisa Ryan,5,132,1879,3,4,3,343
Liz Carlisle,5,54,2095,2,4,3,243
Liz MacKendrick,5,391,1347,4,4,3,443
Liz Pelletier,4,40,757,2,4,4,244
Liz Preis,7,9,3654,1,2,2,122
Liz Thompson,8,34,2936,2,2,2,222
Liz Willingham,3,205,1259,4,4,3,443
Logan Currie,9,13,2632,1,1,2,112
Logan Haushalter,9,385,1740,4,1,3,413
Lori Olson,5,2,644,1,4,4,144
Luke Foster,7,22,3931,1,2,1,121
Luke Schmidt,6,96,1010,3,3,4,334
Luke Weiss,7,21,5420,1,2,1,121
Lycoris Saunders,3,777,368,4,4,4,444
Lynn Smith,6,34,1007,2,3,4,234
Magdelene Morse,4,168,1315,3,4,3,343
Marc Crier,8,76,2727,3,2,2,322
Marc Harrigan,6,119,2394,3,3,2,332
Maria Bertelson,10,48,1548,2,1,3,213
Maria Etezadi,10,42,10663,2,1,1,211
Maria Zettner,4,30,594,1,4,4,144
Maribeth Dona,7,117,3766,3,2,2,322
Maribeth Schnelling,10,273,7443,4,1,1,411
Maribeth Yedwab,7,29,2254,1,2,3,123
Marina Lichtenstein,9,69,2723,2,1,2,212
Maris LaWare,6,54,2922,2,3,2,232
Mark Cousins,5,399,4432,4,4,1,441
Mark Haberlin,4,376,401,4,4,4,444
Mark Hamilton,8,85,2456,3,2,2,322
Mark Packer,7,719,3206,4,2,2,422
Mark Van Huff,9,27,1562,1,1,3,113
Mary O'Rourke,4,72,922,2,4,4,244
Mary Zewe,6,282,2565,4,3,2,432
MaryBeth Skach,4,434,475,4,4,4,444
Mathew Reese,4,125,640,3,4,4,344
Matt Abelman,11,64,4300,2,1,1,211
Matt Collins,8,27,1304,1,2,3,123
Matt Collister,6,51,2426,2,3,2,232
Matt Connell,8,112,2258,3,2,2,322
Matt Hagelstein,4,155,1253,3,4,3,343
Matthew Clasen,4,189,795,4,4,4,444
Matthew Grinstein,7,29,3784,1,2,2,122
Maureen Fritzler,5,421,936,4,4,4,444
Maureen Gastineau,4,92,2350,3,4,2,342
Maureen Gnade,3,555,1343,4,4,3,443
Maurice Satty,6,413,1613,4,3,3,433
Max Engle,8,28,1909,1,2,3,123
Max Jones,7,22,6321,1,2,1,121
Max Ludwig,7,29,2072,1,2,3,123
Maxwell Schwartz,9,121,3145,3,1,2,312
Maya Herman,7,98,2203,3,2,3,323
Meg O'Connel,8,104,1686,3,2,3,323
Meg Tillman,6,49,2889,2,3,2,232
Melanie Seite,4,452,371,4,4,4,444
Michael Chen,7,1,3807,1,2,1,121
Michael Dominguez,5,36,1205,2,4,3,243
Michael Grace,5,116,1241,3,4,3,343
Michael Granlund,9,99,777,3,1,4,314
Michael Kennedy,8,28,2302,1,2,2,122
Michael Moore,11,7,3794,1,1,1,111
Michael Nguyen,6,34,2477,2,3,2,232
Michael Oakman,2,180,154,3,4,4,344
Michael Paige,9,72,3983,2,1,1,211
Michael Stewart,6,26,855,1,3,4,134
Michelle Arnett,6,186,2453,4,3,2,432
Michelle Ellison,4,92,1257,3,4,3,343
Michelle Huthwaite,5,49,2986,2,4,2,242
Michelle Lonsdale,3,79,742,3,4,4,344
Michelle Moray,8,61,2750,2,2,2,222
Michelle Tran,4,203,1320,4,4,3,443
Mick Brown,7,44,1429,2,2,3,223
Mick Crebagga,10,41,2220,2,1,3,213
Mick Hernandez,9,5,5503,1,1,1,111
Mike Caudle,5,369,1582,4,4,3,443
Mike Gockenbach,4,84,3062,3,4,2,342
Mike Kennedy,4,240,1032,4,4,4,444
Mike Pelletier,9,16,5089,1,1,1,111
Mike Vittorini,7,19,1735,1,2,3,123
Mitch Gastineau,1,264,17,4,4,4,444
Mitch Webber,7,17,5341,1,2,1,121
Mitch Willingham,2,44,5254,2,4,1,241
Monica Federle,5,7,1758,1,4,3,143
Muhammed Lee,2,100,162,3,4,4,344
Muhammed MacIntyre,9,85,775,3,1,4,314
Muhammed Yedwab,11,71,4154,2,1,1,211
Nancy Lomonaco,4,58,1419,2,4,3,243
Naresj Patel,6,25,5530,1,3,1,131
Nat Carroll,5,224,2462,4,4,2,442
Nat Gilpin,5,48,1871,2,4,3,243
Natalie DeCherney,9,27,4326,1,1,1,111
Natalie Fritzler,7,79,8321,3,2,1,321
Natalie Webber,7,172,7234,3,2,1,321
Nathan Cano,6,41,2218,2,3,3,233
Nathan Gelder,5,48,1396,2,4,3,243
Nathan Mautz,7,160,6460,3,2,1,321
Neil Ducich,6,183,2894,3,3,2,332
Neil Franzšsisch,4,525,377,4,4,4,444
Neil Knudson,7,70,572,2,2,4,224
Neola Schneider,4,6,2576,1,4,2,142
Neoma Murray,10,244,2163,4,1,3,413
Nick Crebassa,7,6,8241,1,2,1,121
Nick Radford,5,210,2368,4,4,2,442
Nick Zandusky,9,85,2488,3,1,2,312
Nicole Brennan,2,1166,274,4,4,4,444
Nicole Fjeld,7,114,2031,3,2,3,323
Nicole Hansen,7,189,2673,4,2,2,422
Noah Childs,5,204,1821,4,4,3,443
Noel Staavos,13,174,2965,3,1,2,312
Nona Balk,9,19,1971,1,1,3,113
Nora Paige,5,58,3909,2,4,1,241
Nora Pelletier,6,406,1229,4,3,3,433
Nora Preis,7,138,7903,3,2,1,321
Odella Nelson,9,410,1567,4,1,3,413
Olvera Toch,5,65,3819,2,4,1,241
Pamela Coakley,4,2,1832,1,4,3,143
Pamela Stobb,6,107,2182,3,3,3,333
Parhena Norris,8,30,1467,1,2,3,123
Patricia Hirasaki,1,70,730,2,4,4,244
Patrick Bzostek,3,25,740,1,4,4,144
Patrick Gardner,13,36,3087,2,1,2,212
Patrick Jones,8,39,1219,2,2,3,223
Patrick O'Brill,11,4,7474,1,1,1,111
Patrick O'Donnell,7,0,2494,1,2,2,122
Patrick Ryan,5,36,1840,2,4,3,243
Paul Gonzalez,9,57,1988,2,1,3,213
Paul Knutson,2,483,1441,4,4,3,443
Paul Lucas,5,15,240,1,4,4,144
Paul MacIntyre,3,386,1406,4,4,3,443
Paul Prost,10,97,7254,3,1,1,311
Paul Stevenson,8,69,1278,2,2,3,223
