order_date,order_id,customer,grand_total
10/31/11,CA-2011-106439,Greg Guthrie,1008
9/5/11,CA-2011-106572,Nora Preis,264
8/24/11,CA-2011-106719,Robert Barroso,8
12/6/11,CA-2011-106726,Roland Schwarz,1261
12/29/11,CA-2011-106803,Debra Catini,144
5/14/11,CA-2011-106810,Anthony Johnson,311
9/2/11,CA-2011-106971,Bryan Mills,476
7/5/11,CA-2011-107139,Dennis Pardue,181
9/28/11,CA-2011-107153,George Zrebassa,46
2/5/11,CA-2011-107181,Deborah Brumfield,117
8/25/11,CA-2011-107398,Brendan Sweed,30
11/2/11,CA-2011-107454,Roger Demir,124
3/2/11,CA-2011-107524,Kristina Nunn,48
12/12/11,CA-2011-107573,Philip Brown,23
7/2/11,CA-2011-107594,Eric Hoffmann,80
2/15/11,CA-2011-107706,Shui Tom,16
2/8/11,CA-2011-107755,Cyma Kinney,115
10/28/11,CA-2011-107769,Bill Tyler,258
4/29/11,CA-2011-107811,Laura Armstrong,662
9/8/11,CA-2011-107818,Marc Crier,1772
8/24/11,CA-2011-107916,Jennifer Patt,26
6/8/11,CA-2011-108147,Rick Duston,1745
2/7/11,CA-2011-108182,Delfina Latchford,9
10/2/11,CA-2011-108189,Erin Smith,598
12/16/11,CA-2011-108273,Ed Jacobs,93
10/31/11,CA-2011-108609,Anthony Jacobs,1422
10/24/11,CA-2011-108707,Daniel Byrd,10
5/28/11,CA-2011-108861,Magdelene Morse,137
10/3/11,CA-2011-108903,Denny Ordway,213
8/15/11,CA-2011-109043,Christine Sundaresam,244
12/21/11,CA-2011-109127,John Castell,17
11/5/11,CA-2011-109134,Deanra Eno,20
6/30/11,CA-2011-109218,Anthony Rawles,32
1/14/11,CA-2011-109232,Natalie DeCherney,546
8/12/11,CA-2011-109302,Charles Sheldon,196
2/21/11,CA-2011-109491,Linda Cazamias,83
10/6/11,CA-2011-109680,Victoria Pisteka,386
9/1/11,CA-2011-109855,Lena Hernandez,381
7/21/11,CA-2011-109890,Patrick Gardner,36
8/12/11,CA-2011-109897,Ben Wallace,892
7/14/11,CA-2011-109904,Barbara Fisher,18
9/7/11,CA-2011-109918,Lisa Ryan,132
12/9/11,CA-2011-109932,Victoria Pisteka,248
12/6/11,CA-2011-110030,Luke Foster,24
8/5/11,CA-2011-110065,Stephanie Phelps,152
10/22/11,CA-2011-110072,Maureen Gastineau,94
4/25/11,CA-2011-110100,Lena Creighton,302
7/12/11,CA-2011-110184,Ben Ferrer,506
5/5/11,CA-2011-110219,Emily Burns,128
11/23/11,CA-2011-110352,Emily Ducich,24
10/18/11,CA-2011-110408,Alan Schoenberger,2217
1/22/11,CA-2011-110422,Tom Boeckenhauer,25
8/9/11,CA-2011-110527,Emily Ducich,21
4/11/11,CA-2011-110555,Michelle Moray,410
10/6/11,CA-2011-110611,Joy Daniels,84
8/23/11,CA-2011-110639,Rick Hansen,72
12/29/11,CA-2011-110786,Anthony Johnson,1366
4/18/11,CA-2011-110849,John Lee,323
6/1/11,CA-2011-111003,Corey Roper,335
2/4/11,CA-2011-111059,Tom Boeckenhauer,97
12/31/11,CA-2011-111150,Rob Williams,77
3/2/11,CA-2011-111157,Nicole Hansen,155
7/30/11,CA-2011-111192,Tom Stivers,1368
11/24/11,CA-2011-111360,Alyssa Tate,6
12/26/11,CA-2011-111451,Kelly Lampkin,855
8/17/11,CA-2011-111500,Don Jones,485
6/29/11,CA-2011-111773,Jim Karlsson,14
4/23/11,CA-2011-111857,Nathan Mautz,49
3/18/11,CA-2011-111871,Eileen Kiefer,1198
5/4/11,CA-2011-111899,Nat Carroll,43
5/5/11,CA-2011-111934,Giulietta Dortch,47
9/29/11,CA-2011-111962,Evan Bailliet,818
12/2/11,CA-2011-112158,David Philippe,1051
4/3/11,CA-2011-112291,Katrina Edelman,233
1/5/11,CA-2011-112326,Phillina Ober,288
3/31/11,CA-2011-112403,Jas O'Carroll,1
12/16/11,CA-2011-112718,Kean Nguyen,1
9/11/11,CA-2011-112837,Liz Willingham,128
9/17/11,CA-2011-112851,Nick Radford,183
10/24/11,CA-2011-113047,Arthur Prichep,12
12/24/11,CA-2011-113166,Luke Foster,10
12/16/11,CA-2011-113257,Sean Christensen,329
7/9/11,CA-2011-113271,Darrin Sayre,172
12/12/11,CA-2011-113320,Logan Haushalter,31
9/14/11,CA-2011-113362,Astrea Jones,460
9/10/11,CA-2011-113383,Sandra Flanagan,337
12/13/11,CA-2011-113579,Katherine Ducich,90
5/13/11,CA-2011-113768,Aaron Hawkins,287
9/13/11,CA-2011-113859,Becky Castell,340
3/1/11,CA-2011-113880,Vicky Freymann,652
4/5/11,CA-2011-113887,Tracy Hopkins,55
6/16/11,CA-2011-113929,Chloris Kastensmidt,116
9/23/11,CA-2011-113964,Julie Prescott,18
7/9/11,CA-2011-114125,Gary Hansen,69
5/10/11,CA-2011-114181,Art Foster,372
11/1/11,CA-2011-114195,Erin Ashbrook,94
11/5/11,CA-2011-114251,Maribeth Dona,1477
10/11/11,CA-2011-114314,Dorothy Badders,16
8/20/11,CA-2011-114321,Nick Crebassa,1417
9/28/11,CA-2011-114335,Xylona Preis,337
5/13/11,CA-2011-114433,Naresj Patel,150
3/14/11,CA-2011-114510,Jason Fortune-,280
12/23/11,CA-2011-114517,Tiffany House,110
6/13/11,CA-2011-114643,Filia McAdams,15
3/11/11,CA-2011-114790,Filia McAdams,783
9/26/11,CA-2011-115049,Michael Moore,154
5/2/11,CA-2011-115056,Andrew Roberts,26
10/18/11,CA-2011-115084,Luke Schmidt,605
9/26/11,CA-2011-115133,Dianna Arnett,53
2/1/11,CA-2011-115161,Liz Carlisle,291
8/25/11,CA-2011-115259,Ryan Crowe,199
11/18/11,CA-2011-115336,Ann Blume,14
8/6/11,CA-2011-115357,Roland Fjeld,63
1/17/11,CA-2011-115791,Delfina Latchford,300
6/9/11,CA-2011-115812,Brosina Hoffman,3714
11/2/11,CA-2011-115889,Shahid Hopkins,409
11/24/11,CA-2011-115973,Nathan Gelder,3
7/15/11,CA-2011-115980,Victoria Wilson,10
7/26/11,CA-2011-116190,Sheri Gordon,256
3/4/11,CA-2011-116239,Clay Ludtke,355
9/12/11,CA-2011-116246,Luke Weiss,3785
11/15/11,CA-2011-116407,Jamie Frazer,362
12/14/11,CA-2011-116568,Bryan Mills,186
5/8/11,CA-2011-116666,Kean Thornton,1800
12/15/11,CA-2011-116673,Jas O'Carroll,6
6/30/11,CA-2011-116757,Michael Stewart,47
4/26/11,CA-2011-116785,Marc Harrigan,34
10/11/11,CA-2011-116834,Dean percer,408
9/23/11,CA-2011-116904,Sanjit Chand,9900
7/21/11,CA-2011-116932,Michelle Ellison,1174
3/4/11,CA-2011-117016,Sanjit Chand,16
10/19/11,CA-2011-117317,Jeremy Farry,13
8/1/11,CA-2011-117345,Barbara Fisher,203
10/7/11,CA-2011-117429,Mathew Reese,130
7/22/11,CA-2011-117464,Naresj Patel,1136
9/21/11,CA-2011-117478,Larry Hughes,7
5/21/11,CA-2011-117639,Mitch Willingham,3334
5/4/11,CA-2011-117709,Paul MacIntyre,47
9/7/11,CA-2011-117765,Rick Bensley,644
1/14/11,CA-2011-118192,Michael Moore,41
12/29/11,CA-2011-118276,Michael Granlund,9
4/29/11,CA-2011-118304,Katherine Hughes,20
3/17/11,CA-2011-118339,Bradley Nguyen,250
8/5/11,CA-2011-118962,Chad Sievert,472
4/28/11,CA-2011-118976,Muhammed Yedwab,527
11/27/11,CA-2011-119032,Maxwell Schwartz,4
11/16/11,CA-2011-119144,Justin Deggeller,731
11/25/11,CA-2011-119151,Mike Pelletier,1394
5/11/11,CA-2011-119172,Harold Dahlen,122
11/17/11,CA-2011-119375,Yoseph Carroll,3116
12/15/11,CA-2011-119466,Sung Pak,9
11/3/11,CA-2011-119529,Denise Monton,6
10/8/11,CA-2011-119977,Duane Noonan,124
7/4/11,CA-2011-120096,Katrina Edelman,210
12/27/11,CA-2011-120243,Alyssa Tate,12
11/7/11,CA-2011-120278,Maribeth Schnelling,317
9/20/11,CA-2011-120411,Sarah Brown,505
8/24/11,CA-2011-120432,Dorothy Wardle,26
12/1/11,CA-2011-120474,Resi Pšlking,2854
11/23/11,CA-2011-120544,Saphhira Shifley,46
11/2/11,CA-2011-120670,Julie Kriz,800
12/19/11,CA-2011-120768,Irene Maddox,1980
10/3/11,CA-2011-120775,Russell D'Ascenzo,58
3/23/11,CA-2011-120838,Patrick O'Donnell,935
12/20/11,CA-2011-120852,William Brown,85
9/27/11,CA-2011-120887,Thomas Seio,88
11/6/11,CA-2011-120950,George Ashbrook,44
11/10/11,CA-2011-121006,Sam Craven,1195
11/28/11,CA-2011-121167,Mary O'Rourke,17
11/4/11,CA-2011-121286,Odella Nelson,67
11/3/11,CA-2011-121573,Speros Goranitis,841
11/28/11,CA-2011-121629,Brian Thompson,999
5/6/11,CA-2011-121664,Harold Pawlan,141
8/19/11,CA-2011-121727,Jim Karlsson,11
2/15/11,CA-2011-121762,Marina Lichtenstein,561
4/8/11,CA-2011-121769,John Stevenson,172
4/22/11,CA-2011-122070,Aaron Hawkins,258
11/24/11,CA-2011-122217,Harold Pawlan,111
4/13/11,CA-2011-122336,Jonathan Doherty,631
2/17/11,CA-2011-122567,Michael Nguyen,9
11/25/11,CA-2011-122588,Andy Reiter,53
11/12/11,CA-2011-122609,Darren Powers,153
7/22/11,CA-2011-122679,Alejandro Ballentine,20
12/3/11,CA-2011-122749,Nathan Gelder,480
9/7/11,CA-2011-122882,Sean Braxton,539
9/29/11,CA-2011-122931,Suzanne McNair,2359
6/30/11,CA-2011-123064,Russell Applegate,5
9/8/11,CA-2011-123127,Stefania Perrino,17
7/11/11,CA-2011-123225,Michael Nguyen,586
8/22/11,CA-2011-123253,Deanra Eno,4
8/26/11,CA-2011-123260,Frank Merwin,177
7/18/11,CA-2011-123295,Adrian Hane,259
10/13/11,CA-2011-123316,Sibella Parks,8
11/7/11,CA-2011-123323,Lena Hernandez,123
9/24/11,CA-2011-123344,Julia Dunbar,212
2/3/11,CA-2011-123400,Eric Barreto,199
1/19/11,CA-2011-123477,David Wiener,65
11/7/11,CA-2011-123498,Tamara Chand,100
6/18/11,CA-2011-123855,Mick Crebagga,140
12/17/11,CA-2011-123925,Roy Franzšsisch,40
4/7/11,CA-2011-124023,Pauline Johnson,9
12/13/11,CA-2011-124079,Randy Ferguson,93
12/16/11,CA-2011-124247,Stefanie Holloman,1404
10/17/11,CA-2011-124394,Tracy Blumstein,131
5/27/11,CA-2011-124429,Maya Herman,926
7/14/11,CA-2011-124464,Shirley Schmidt,39
8/8/11,CA-2011-124478,Matt Abelman,1110
9/21/11,CA-2011-124513,Sara Luxemburg,66
5/2/11,CA-2011-124618,Cari Schnelling,480
6/22/11,CA-2011-124646,Dianna Vittorini,664
8/27/11,CA-2011-124688,Corey Catlett,1812
11/18/11,CA-2011-124702,Maya Herman,868
7/27/11,CA-2011-124709,Giulietta Weimer,238
8/5/11,CA-2011-124723,Gary Zandusky,489
11/26/11,CA-2011-124730,Lynn Smith,415
8/23/11,CA-2011-124737,Arthur Prichep,424
7/12/11,CA-2011-124807,Max Engle,60
9/29/11,CA-2011-124856,Lisa DeCherney,1609
9/28/11,CA-2011-125136,Keith Dawkins,107
5/16/11,CA-2011-125150,Pauline Webber,233
9/3/11,CA-2011-125171,Allen Goldenen,14
9/21/11,CA-2011-125514,Brian Moss,69
12/5/11,CA-2011-125542,Nona Balk,521
11/14/11,CA-2011-125556,Maris LaWare,877
8/3/11,CA-2011-125612,Berenike Kampe,164
11/22/11,CA-2011-125682,Robert Barroso,10
9/10/11,CA-2011-125731,Clay Ludtke,1509
2/9/11,CA-2011-125759,Nathan Mautz,15
11/4/11,CA-2011-125829,William Brown,1729
9/20/11,CA-2011-125997,Mitch Webber,3519
6/23/11,CA-2011-126032,Brian Stugart,86
9/7/11,CA-2011-126193,Shahid Shariari,322
8/25/11,CA-2011-126200,Joe Elijah,38
9/13/11,CA-2011-126277,Lena Hernandez,3
12/23/11,CA-2011-126333,Michelle Ellison,5
8/4/11,CA-2011-126361,Valerie Dominguez,2126
9/9/11,CA-2011-126403,Rick Reed,2304
9/20/11,CA-2011-126480,Henry Goldwyn,9
9/1/11,CA-2011-126522,Larry Tron,54
9/29/11,CA-2011-126683,Paul Prost,2355
7/26/11,CA-2011-126760,Kunst Miller,1891
12/29/11,CA-2011-126802,Zuschuss Carroll,39
11/1/11,CA-2011-126907,Suzanne McNair,16
6/15/11,CA-2011-126963,Pamela Stobb,37
8/11/11,CA-2011-127012,Greg Matthias,76
11/24/11,CA-2011-127131,Harold Ryan,721
5/12/11,CA-2011-127159,Hunter Lopez,35
5/21/11,CA-2011-127166,Katherine Hughes,187
12/4/11,CA-2011-127187,Cathy Prescott,130
9/19/11,CA-2011-127299,John Lee,2692
12/31/11,CA-2011-127383,Candace McMahon,50
11/25/11,CA-2011-127446,Matt Collister,1274
9/22/11,CA-2011-127488,Maribeth Schnelling,5
5/11/11,CA-2011-127523,Brooke Gillingham,36
11/15/11,CA-2011-127558,Shahid Shariari,803
9/26/11,CA-2011-127586,Christopher Schild,310
2/12/11,CA-2011-127614,Natalie Fritzler,1508
7/22/11,CA-2011-127691,Erin Mull,166
3/17/11,CA-2011-127859,Quincy Jones,127
7/20/11,CA-2011-127866,Jonathan Doherty,602
9/2/11,CA-2011-127936,Clay Ludtke,21
3/3/11,CA-2011-127964,Anne Pryor,161
3/31/11,CA-2011-128055,Alex Avila,727
11/19/11,CA-2011-128062,Alan Dominguez,6
6/21/11,CA-2011-128146,Dave Brooks,1327
11/17/11,CA-2011-128209,Greg Tran,6161
3/25/11,CA-2011-128237,Christina Anderson,92
11/11/11,CA-2011-128524,Mary Zewe,2159
10/11/11,CA-2011-128538,Alan Shonely,8
11/15/11,CA-2011-128622,Scott Cohen,11
9/8/11,CA-2011-128839,Ted Trevino,255
4/7/11,CA-2011-128846,Roland Schwarz,753
11/15/11,CA-2011-128888,Peter BŸhler,605
8/3/11,CA-2011-128986,Gary Hansen,93
11/22/11,CA-2011-129091,Ruben Ausman,1023
11/2/11,CA-2011-129147,Liz Carlisle,609
8/17/11,CA-2011-129168,Ken Black,16
7/21/11,CA-2011-129189,Harry Marie,752
12/8/11,CA-2011-129364,Tim Brockman,266
5/26/11,CA-2011-129574,Dean percer,48
12/13/11,CA-2011-129819,Kimberly Carter,12
7/12/11,CA-2011-129924,Alyssa Crouse,706
12/15/11,CA-2011-129938,Ed Braxton,446
1/12/11,CA-2011-130092,Seth Vernon,10
5/19/11,CA-2011-130155,Tamara Dahlen,34
5/3/11,CA-2011-130274,Joni Sundaresam,22
3/3/11,CA-2011-130421,Sam Craven,177
3/31/11,CA-2011-130428,Trudy Glocke,1142
9/6/11,CA-2011-130449,Victoria Pisteka,100
12/14/11,CA-2011-130575,Cari Sayre,9
6/21/11,CA-2011-130624,Toby Braunhardt,697
5/20/11,CA-2011-130673,Matt Collister,108
10/24/11,CA-2011-130729,Allen Armold,34
1/7/11,CA-2011-130813,Lycoris Saunders,19
11/17/11,CA-2011-130869,Cassandra Brandow,7
8/22/11,CA-2011-130918,Jeremy Pistek,8
12/30/11,CA-2011-130960,Ken Brennan,10
9/7/11,CA-2011-131002,Tom Boeckenhauer,1040
3/1/11,CA-2011-131009,Shahid Collister,574
12/1/11,CA-2011-131051,Toby Ritter,58
3/30/11,CA-2011-131247,Guy Armstrong,206
7/12/11,CA-2011-131310,Clay Ludtke,134
4/28/11,CA-2011-131387,Arianne Irving,1680
8/8/11,CA-2011-131450,Lena Radford,2050
12/1/11,CA-2011-131527,Toby Braunhardt,96
7/28/11,CA-2011-131541,Chloris Kastensmidt,193
12/30/11,CA-2011-131800,Astrea Jones,158
2/7/11,CA-2011-131905,Neil Ducich,322
6/1/11,CA-2011-131926,Dianna Wilson,3746
9/17/11,CA-2011-131947,Joseph Airdo,318
10/13/11,CA-2011-132010,Michelle Arnett,390
11/4/11,CA-2011-132227,Sam Zeldin,52
9/26/11,CA-2011-132451,Karen Ferguson,605
9/8/11,CA-2011-132500,Gary Zandusky,50
10/6/11,CA-2011-132542,Alice McCarthy,15
6/9/11,CA-2011-132612,Frank Olsen,1441
9/19/11,CA-2011-132787,Mike Caudle,93
10/7/11,CA-2011-132801,John Grady,107
12/2/11,CA-2011-132864,Katherine Nockton,120
12/24/11,CA-2011-132913,Adam Shillingsburg,14
9/13/11,CA-2011-132962,Jessica Myrick,268
4/28/11,CA-2011-132983,David Smith,160
8/19/11,CA-2011-133158,David Wiener,359
4/4/11,CA-2011-133228,Maurice Satty,85
6/6/11,CA-2011-133270,Bryan Mills,13
7/11/11,CA-2011-133305,Mark Hamilton,67
2/23/11,CA-2011-133354,Sue Ann Reed,19
6/22/11,CA-2011-133389,Toby Braunhardt,8
3/30/11,CA-2011-133424,Dorris liebe,60
12/22/11,CA-2011-133543,Khloe Miller,12
12/31/11,CA-2011-133592,Katherine Murray,2846
11/5/11,CA-2011-133634,Steven Roelle,48
8/3/11,CA-2011-133690,Bruce Stewart,221
9/20/11,CA-2011-133704,Michelle Arnett,64
6/9/11,CA-2011-133753,Carl Weiss,142
11/18/11,CA-2011-133809,MaryBeth Skach,21
12/5/11,CA-2011-133830,Rob Lucas,91
6/9/11,CA-2011-133851,Chuck Magee,30
5/18/11,CA-2011-133963,George Ashbrook,4
4/29/11,CA-2011-134061,Lauren Leatherbury,17
1/31/11,CA-2011-134103,Mike Vittorini,241
8/4/11,CA-2011-134215,Marina Lichtenstein,617
7/6/11,CA-2011-134278,Emily Phan,560
11/1/11,CA-2011-134313,Russell Applegate,2027
12/20/11,CA-2011-134551,Tony Sayre,732
4/20/11,CA-2011-134572,Seth Vernon,1191
12/21/11,CA-2011-134621,Dennis Pardue,18
10/6/11,CA-2011-134677,Xylona Preis,9
11/2/11,CA-2011-134726,Steven Ward,95
11/22/11,CA-2011-135090,Susan Pistek,54
1/10/11,CA-2011-135405,Melanie Seite,41
12/8/11,CA-2011-135608,Jim Karlsson,650
6/3/11,CA-2011-135657,Steven Cartwright,516
8/29/11,CA-2011-135699,Hilary Holden,123
5/3/11,CA-2011-135755,Nathan Cano,51
5/28/11,CA-2011-135993,Patrick Jones,85
11/29/11,CA-2011-136280,Corey-Lock,5
4/21/11,CA-2011-136336,Dorothy Badders,829
12/16/11,CA-2011-136399,Chad Cunningham,1308
12/20/11,CA-2011-136567,Penelope Sewall,2884
6/16/11,CA-2011-136644,Sonia Cooley,648
4/6/11,CA-2011-136742,Guy Phonely,45
9/5/11,CA-2011-136861,Patrick Ryan,32
10/20/11,CA-2011-137092,Lindsay Shagiari,862
3/29/11,CA-2011-137274,Mike Gockenbach,891
9/30/11,CA-2011-137351,Doug Bickford,43
8/6/11,CA-2011-137575,Trudy Brown,200
11/3/11,CA-2011-137589,Maxwell Schwartz,286
10/9/11,CA-2011-137911,Bart Pistole,89
8/15/11,CA-2011-138023,Keith Herrera,31
12/30/11,CA-2011-138072,Guy Armstrong,28
9/15/11,CA-2011-138100,Alex Avila,30
12/9/11,CA-2011-138128,Frank Preis,1111
9/19/11,CA-2011-138177,Neil Ducich,74
7/18/11,CA-2011-138198,Jack Lebron,14
10/9/11,CA-2011-138240,Shirley Jackson,161
12/5/11,CA-2011-138296,Roy Collins,25
6/21/11,CA-2011-138317,Natalie Webber,385
4/1/11,CA-2011-138359,Katharine Harms,73
3/26/11,CA-2011-138436,Jonathan Doherty,66
10/18/11,CA-2011-138450,Edward Hooks,249
5/23/11,CA-2011-138513,Erica Hackney,13
9/12/11,CA-2011-138527,Brad Norvell,192
12/20/11,CA-2011-138681,Carol Triggs,597
7/4/11,CA-2011-138709,Maxwell Schwartz,37
12/7/11,CA-2011-138737,Frank Preis,9
4/11/11,CA-2011-138940,Gary Mitchum,758
5/11/11,CA-2011-139017,Raymond Messe,47
5/27/11,CA-2011-139192,Lena Creighton,1213
11/23/11,CA-2011-139283,Bobby Trafton,15
11/1/11,CA-2011-139423,Deirdre Greer,76
10/12/11,CA-2011-139451,Duane Noonan,36
10/25/11,CA-2011-139542,Evan Henry,54
12/26/11,CA-2011-139598,Maureen Gnade,362
12/17/11,CA-2011-139633,Erin Creighton,5
2/3/11,CA-2011-139857,Cynthia Delaney,12
9/8/11,CA-2011-139892,Becky Martin,10540
3/21/11,CA-2011-140004,Cassandra Brandow,13
9/8/11,CA-2011-140032,Toby Swindell,9
9/13/11,CA-2011-140039,Odella Nelson,79
5/13/11,CA-2011-140165,Erica Hernandez,405
4/28/11,CA-2011-140228,George Bell,212
11/20/11,CA-2011-140396,Katharine Harms,908
10/10/11,CA-2011-140403,Tanja Norvell,138
5/30/11,CA-2011-140473,Mark Cousins,720
6/14/11,CA-2011-140487,Sharelle Roach,213
11/17/11,CA-2011-140662,Thomas Seio,1075
11/11/11,CA-2011-140732,Matt Abelman,708
2/2/11,CA-2011-140795,Bradley Drucker,469
12/20/11,CA-2011-140816,Toby Carlisle,448
6/28/11,CA-2011-140858,Cynthia Arntzen,1640
9/30/11,CA-2011-140886,Kelly Williams,69
8/15/11,CA-2011-141005,Christine Sundaresam,63
11/26/11,CA-2011-141110,Luke Schmidt,67
9/16/11,CA-2011-141152,Randy Ferguson,34
11/18/11,CA-2011-141173,Julie Creighton,67
6/21/11,CA-2011-141278,Raymond Messe,21
6/3/11,CA-2011-141299,Ross Baird,15
12/28/11,CA-2011-141313,Anthony Jacobs,2583
9/25/11,CA-2011-141355,Barry Franz,15
12/12/11,CA-2011-141607,William Brown,43
9/30/11,CA-2011-141649,Dario Medina,795
7/20/11,CA-2011-141726,Charles Crestani,176
6/21/11,CA-2011-141796,James Galang,1215
1/6/11,CA-2011-141817,Mick Brown,20
3/26/11,CA-2011-141838,Damala Kotsonis,60
8/9/11,CA-2011-141901,Gene McClure,6
6/22/11,CA-2011-142048,Joel Eaton,197
12/23/11,CA-2011-142314,Sarah Foster,207
12/22/11,CA-2011-142510,Nora Preis,274
10/21/11,CA-2011-142587,Tracy Blumstein,531
4/29/11,CA-2011-142727,Harry Greene,70
9/13/11,CA-2011-142769,Resi Pšlking,562
8/16/11,CA-2011-142839,Troy Staebel,853
10/8/11,CA-2011-142951,Jack Garza,23
7/20/11,CA-2011-142965,Scot Wooten,53
4/12/11,CA-2011-142979,Edward Hooks,40
10/18/11,CA-2011-143168,Ivan Gibson,63
10/15/11,CA-2011-143182,Dan Lawera,15
12/1/11,CA-2011-143210,Anna Andreadi,328
8/27/11,CA-2011-143336,Zuschuss Donatelli,245
12/28/11,CA-2011-143371,Maribeth Dona,1050
8/31/11,CA-2011-143385,Shirley Jackson,93
5/24/11,CA-2011-143413,Resi Pšlking,116
3/24/11,CA-2011-143637,Maurice Satty,40
5/22/11,CA-2011-143840,Evan Henry,181
7/20/11,CA-2011-143903,Katherine Murray,1341
7/25/11,CA-2011-143917,Ken Lonsdale,8319
5/26/11,CA-2011-144029,Michelle Moray,476
12/8/11,CA-2011-144071,Denny Joy,119
6/10/11,CA-2011-144281,Heather Kirkland,492
9/9/11,CA-2011-144407,Maribeth Schnelling,104
6/17/11,CA-2011-144414,Gary Hwang,3291
11/19/11,CA-2011-144624,John Murray,4549
11/9/11,CA-2011-144666,Jeremy Pistek,1518
9/26/11,CA-2011-144974,Craig Molinari,69
9/13/11,CA-2011-145212,Dan Campbell,5
7/23/11,CA-2011-145254,Nick Crebassa,993
3/18/11,CA-2011-145317,Sean Miller,23661
10/31/11,CA-2011-145387,Anne McFarland,2117
