customer,frequency,recency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass
Add Senger,2,16,121,2,2,1,221
Adda Corkery,2,43,97,3,2,2,322
Addison Bogan DVM,1,89,38,4,4,4,444
Addison Cole,5,20,168,2,1,1,211
Addison Kihn,2,12,84,1,2,2,122
Addisyn Becker,1,80,28,4,4,4,444
Addisyn Halvorson,1,26,79,2,4,2,242
Addisyn Schneider DVM,1,83,47,4,4,3,443
Addisyn Wuckert,1,45,70,3,4,2,342
Addyson Cole,1,31,48,2,4,3,243
Addyson Jacobs,1,5,25,1,4,4,144
Adel Casper,1,50,31,3,4,4,344
Adel Hayes,3,6,156,1,1,1,111
Adela Kemmer,1,44,41,3,4,4,344
Adelard Dare,1,87,29,4,4,4,444
Adelard Gutkowski,2,6,110,1,2,1,121
Adelard Lubowitz,1,27,30,2,4,4,244
Adelbert Nitzsche,2,6,121,1,2,1,121
Adele Konopelski,2,0,90,1,2,2,122
Adele Purdy,2,3,112,1,2,1,121
Adelia Johns MD,1,6,59,1,4,3,143
Adelina Frami,3,1,158,1,1,1,111
Adelina Mosciski,1,8,44,1,4,4,144
Adelina Parker,2,73,66,4,2,3,423
Adelina Terry,1,12,41,1,4,4,144
Adella Emard,1,37,55,2,4,3,243
Adella Kling,1,73,50,4,4,3,443
Adelle Barton,2,59,52,3,2,3,323
Adelle Vandervort MD,2,30,149,2,2,1,221
Adelynn Sipes,1,5,33,1,4,4,144
Aden Lesch Sr.,1,32,37,2,4,4,244
Adilene Macejkovic,1,47,20,3,4,4,344
Adin Ledner,1,70,35,4,4,4,444
Adina Cummerata,1,47,20,3,4,4,344
Adina Wyman,1,14,25,2,4,4,244
Adlai Boyle,2,38,97,2,2,2,222
Adlai Mills,1,14,24,2,4,4,244
Adlai Schimmel,1,17,44,2,4,4,244
Admiral Glover,1,84,59,4,4,3,443
Admiral Keebler III,1,65,77,4,4,2,442
Admiral Lueilwitz,1,84,58,4,4,3,443
Admiral Schuppe PhD,5,3,239,1,1,1,111
Admiral Senger,1,6,66,1,4,3,143
Adolf Emard,1,90,71,4,4,2,442
Adolf Mosciski Jr.,2,53,102,3,2,2,322
Adolfo Tillman,2,66,117,4,2,1,421
Adolph Runolfsdottir,1,67,63,4,4,3,443
Adolphus Stiedemann,3,31,150,2,1,1,211
Adonis Hand,5,4,284,1,1,1,111
Adonis Hansen,2,43,83,3,2,2,322
Adonis Reinger,1,46,68,3,4,2,342
Adria Swaniawski,1,47,52,3,4,3,343
Adrian Kozey,2,48,88,3,2,2,322
Adriana Satterfield MD,1,15,42,2,4,4,244
Adrianne Johnston PhD,1,81,26,4,4,4,444
Adrien Gorczany,1,44,77,3,4,2,342
Adrien Witting,1,28,42,2,4,4,244
Adriene Becker,2,12,79,1,2,2,122
Adriene Schmitt,1,3,53,1,4,3,143
Aedan Graham,5,6,218,1,1,1,111
Afton Rath PhD,1,15,33,2,4,4,244
Afton Schulist,4,16,179,2,1,1,211
Agatha Beier,1,42,77,3,4,2,342
Agatha Connelly,5,59,210,3,1,1,311
Agatha Kilback DVM,2,19,154,2,2,1,221
Agatha Klocko,1,34,25,2,4,4,244
Aggie Feil,1,18,71,2,4,2,242
Aggie Harris,1,72,40,4,4,4,444
Agnes Anderson DVM,6,1,296,1,1,1,111
Agness Barton,1,85,73,4,4,2,442
Agness Hane,1,67,26,4,4,4,444
Agness O'Keefe,1,46,44,3,4,4,344
Agness Pouros,1,90,38,4,4,4,444
Agusta Gislason DDS,1,86,67,4,4,3,443
Agusta Wiegand,1,56,33,3,4,4,344
Agustin Larson,1,87,75,4,4,2,442
Agustin Marks,1,79,58,4,4,3,443
Agustus Kohler,1,20,51,2,4,3,243
Ah Hahn DVM,2,12,76,1,2,2,122
Ahmad Cremin,1,40,56,3,4,3,343
Ahmad Moen,2,12,64,1,2,3,123
Ahmad Roob,1,56,78,3,4,2,342
Ahmed Armstrong,1,42,53,3,4,3,343
Ahmed Becker,1,47,55,3,4,3,343
Ahmed Howe,1,50,37,3,4,4,344
Ahmed Leffler,2,88,69,4,2,2,422
Aidan Harris,1,83,56,4,4,3,443
Aidan King,1,89,52,4,4,3,443
Aidan Stokes,1,90,54,4,4,3,443
Aiden Bode,5,40,294,3,1,1,311
Aiden Windler,1,68,21,4,4,4,444
Aiden Wolf I,2,38,126,2,2,1,221
Aidyn Champlin,1,83,32,4,4,4,444
Aidyn McDermott,1,20,52,2,4,3,243
Aidyn Runolfsdottir,1,46,24,3,4,4,344
Aileen Barton,1,80,21,4,4,4,444
Aileen Schuppe,1,86,33,4,4,4,444
Ailene Hermann,3,10,188,1,1,1,111
Ailene Kerluke,7,5,354,1,1,1,111
Ailene Wiegand MD,1,76,40,4,4,4,444
Aime Kihn,1,47,23,3,4,4,344
Aime Smith,1,14,65,2,4,3,243
Ainsley Haag MD,17,3,906,1,1,1,111
Ainsley Jacobs,3,2,175,1,1,1,111
Ainsley Schmitt,1,7,69,1,4,2,142
Aisha Mann,1,30,71,2,4,2,242
Aiyanna Bruen PhD,1,12,47,1,4,3,143
Aiyanna Casper DDS,1,14,67,2,4,3,243
Aiyanna DuBuque,1,18,27,2,4,4,244
Aja Bins DVM,1,5,73,1,4,2,142
Aja Harber,3,30,140,2,1,1,211
Aja Veum,3,31,187,2,1,1,211
Akeem Champlin,1,48,78,3,4,2,342
Akeem Lubowitz,1,29,46,2,4,3,243
Akira Trantow DDS,2,52,62,3,2,3,323
Al Lockman,1,63,71,4,4,2,442
Al Nader II,1,57,55,3,4,3,343
Al Williamson,5,35,288,2,1,1,211
Ala Halvorson,1,47,68,3,4,2,342
Ala Schmidt DDS,3,3,138,1,1,1,111
Alabama Abbott,1,32,23,2,4,4,244
Alabama Kessler PhD,1,72,43,4,4,4,444
Alan Block,6,6,305,1,1,1,111
Alan Considine,1,18,68,2,4,2,242
Alana Auer,1,6,31,1,4,4,144
Alana Champlin,2,6,122,1,2,1,121
Alani Beier,1,40,77,3,4,2,342
Alani Lindgren,4,7,251,1,1,1,111
Alani Powlowski,2,33,110,2,2,1,221
Alanna Kuhlman MD,2,19,78,2,2,2,222
Alannah Borer,6,7,302,1,1,1,111
Alannah Howe,1,46,51,3,4,3,343
Alannah Murray DDS,2,31,64,2,2,3,223
Alannah Steuber,1,47,59,3,4,3,343
Alayna Collins,2,3,133,1,2,1,121
Alayna Kutch,1,6,41,1,4,4,144
Alayna Rohan,5,3,156,1,1,1,111
Albert Franecki,1,54,24,3,4,4,344
Albert Kozey,1,23,36,2,4,4,244
Albert Ondricka,2,47,111,3,2,1,321
Albertha Aufderhar,1,52,49,3,4,3,343
Albertina Cole,1,17,43,2,4,4,244
Albertina Lubowitz,3,43,124,3,1,1,311
Albertina Ruecker MD,2,15,90,2,2,2,222
Albertine Armstrong,1,14,27,2,4,4,244
Albertine Nienow,3,39,98,3,1,2,312
Albertine Rogahn PhD,1,88,53,4,4,3,443
Alberto Mayert,1,60,48,4,4,3,443
Albertus Fisher,1,39,59,3,4,3,343
Albertus Hagenes,3,19,113,2,1,1,211
Albertus Hintz,1,83,42,4,4,4,444
Albin Feil,6,8,313,1,1,1,111
Albin Marks,2,67,122,4,2,1,421
Albina Batz,1,47,41,3,4,4,344
Albina Klocko,2,40,109,3,2,1,321
Albion Balistreri,2,72,113,4,2,1,421
Albion Bashirian MD,1,85,52,4,4,3,443
Albion Grady Jr.,1,44,52,3,4,3,343
Alcee Kessler,1,39,43,3,4,4,344
Alcee Reichert,1,65,79,4,4,2,442
Alcee Weissnat,3,6,117,1,1,1,111
Alcide Daniel,2,12,73,1,2,2,122
Alcide Kuhic,2,11,73,1,2,2,122
Alcide Rohan,1,84,59,4,4,3,443
Alcie Farrell DDS,1,74,72,4,4,2,442
Alcie Murray,1,33,62,2,4,3,243
Alcie Will,2,31,47,2,2,3,223
Alden Homenick,2,3,103,1,2,2,122
Aldona Weissnat,1,21,66,2,4,3,243
Alease Ondricka,1,46,33,3,4,4,344
Alec O'Keefe II,2,42,126,3,2,1,321
Aleck Jacobs,2,4,103,1,2,2,122
Aleck Klein,2,21,108,2,2,1,221
Aleck Towne,2,10,114,1,2,1,121
Aleen Flatley,1,81,51,4,4,3,443
Aleena Berge,1,68,62,4,4,3,443
Aleena Ruecker,1,46,27,3,4,4,344
Alejandra Batz,1,41,64,3,4,3,343
Alejandro Rempel V,2,43,152,3,2,1,321
Alek McGlynn,1,36,40,2,4,4,244
Alena Brakus,2,9,105,1,2,2,122
Alene Quitzon,1,44,37,3,4,4,344
Alesia Gislason,1,46,72,3,4,2,342
Alessandra Heaney,1,48,56,3,4,3,343
Alessandro Mosciski,2,21,93,2,2,2,222
Alessandro Wyman,2,83,51,4,2,3,423
Aleta Weissnat,1,81,60,4,4,3,443
Aletha Weimann,3,4,158,1,1,1,111
Alethea Blanda,2,7,101,1,2,2,122
Alex Armstrong,2,46,58,3,2,3,323
Alex Bartell,1,68,61,4,4,3,443
Alex Bergnaum,2,51,94,3,2,2,322
Alex Lemke,1,37,42,2,4,4,244
Alex Steuber,6,3,300,1,1,1,111
Alexa Gulgowski DDS,2,33,120,2,2,1,221
Alexa Strosin,1,48,32,3,4,4,344
Alexander Toy,1,46,80,3,4,2,342
Alexander Welch IV,1,6,59,1,4,3,143
Alexandr Brakus,1,89,50,4,4,3,443
Alexandr Kuhlman,2,33,96,2,2,2,222
Alexandr Stanton,5,5,223,1,1,1,111
Alexandr VonRueden,3,72,117,4,1,1,411
Alexandr Walter,1,25,76,2,4,2,242
Alexandra Denesik,4,5,167,1,1,1,111
Alexandra Steuber,2,46,107,3,2,1,321
Alexandre Romaguera,2,53,103,3,2,2,322
Alexandro Bogan MD,1,47,39,3,4,4,344
Alexandro Ernser,1,34,38,2,4,4,244
Alexandro Keeling,5,14,247,2,1,1,211
Alexia Wilderman PhD,2,66,112,4,2,1,421
Alexis Cormier,3,47,152,3,1,1,311
Alexis Kessler V,1,72,45,4,4,3,443
Alexus McLaughlin,2,5,57,1,2,3,123
Alexys Okuneva,1,68,43,4,4,4,444
Alexys Zulauf,1,56,32,3,4,4,344
Alexzander Hettinger,2,12,132,1,2,1,121
Alexzander Schulist,2,27,151,2,2,1,221
Alf Lueilwitz,1,85,62,4,4,3,443
Alferd Crona,6,50,292,3,1,1,311
Alferd Hoppe,1,46,26,3,4,4,344
Alferd Ziemann,1,25,73,2,4,2,242
Alfie Sporer,2,47,133,3,2,1,321
Alfonse Corwin PhD,1,54,43,3,4,4,344
Alfonso Lynch,1,17,41,2,4,4,244
Alfonso Rippin,1,40,42,3,4,4,344
Alfonzo Jast I,2,12,126,1,2,1,121
Alfonzo Wiza,1,19,38,2,4,4,244
Alford Gibson,1,47,48,3,4,3,343
Alfred Mayer,1,73,43,4,4,4,444
Alfred Metz,5,20,247,2,1,1,211
Alfred Stanton,1,81,49,4,4,3,443
Alfreda Champlin,1,45,46,3,4,3,343
Alfreda Kreiger,1,1,37,1,4,4,144
Alger Bechtelar,1,11,62,1,4,3,143
Alger Corkery,3,38,129,2,1,1,211
Alger Hartmann,2,53,57,3,2,3,323
Alger Hayes,4,11,213,1,1,1,111
Alger Hirthe III,10,4,576,1,1,1,111
Algernon Corwin,1,80,71,4,4,2,442
Algernon Satterfield,1,47,30,3,4,4,344
Algernon Stroman IV,1,12,21,1,4,4,144
Algot Feil,2,20,119,2,2,1,221
Algot Weimann,1,48,28,3,4,4,344
Ali Prohaska,1,52,37,3,4,4,344
Alia Schiller,1,5,39,1,4,4,144
Alia Sipes,1,31,43,2,4,4,244
Alia Strosin,2,12,125,1,2,1,121
Alice Nikolaus,1,0,37,1,4,4,144
Alice Reichel,1,47,65,3,4,3,343
Alida Brekke,2,1,104,1,2,2,122
Alida Cole PhD,1,19,54,2,4,3,243
Alida Lockman,1,46,50,3,4,3,343
Alida Weissnat,1,29,75,2,4,2,242
Alida Zemlak,2,41,96,3,2,2,322
Alijah Lesch,1,46,79,3,4,2,342
Alina Keeling,1,83,24,4,4,4,444
Aline Skiles,4,3,256,1,1,1,111
Alisa Gislason DVM,1,80,58,4,4,3,443
Alisa Schimmel PhD,2,8,127,1,2,1,121
Alisha Durgan,2,42,117,3,2,1,321
Alisha Rath,3,71,147,4,1,1,411
Alison Braun,2,60,105,4,2,2,422
Alison Hansen,1,47,67,3,4,3,343
Alison McKenzie,1,25,74,2,4,2,242
Alison Yundt,2,65,120,4,2,1,421
Alissa Nicolas,1,65,48,4,4,3,443
Alissa Wisoky,1,4,64,1,4,3,143
Alisson Dach MD,1,40,48,3,4,3,343
Alisson Hermann DDS,1,46,57,3,4,3,343
Alisson Mitchell,1,20,30,2,4,4,244
Alivia Fisher,1,16,73,2,4,2,242
Alivia Kuhn MD,1,90,21,4,4,4,444
Alivia Vandervort,2,29,72,2,2,2,222
Alivia Weimann DVM,4,2,186,1,1,1,111
Aliya Prosacco DDS,1,45,57,3,4,3,343
Aliya Rosenbaum,1,19,32,2,4,4,244
Aliza Lubowitz,3,30,131,2,1,1,211
Aliza Sauer PhD,1,50,54,3,4,3,343
Aliza Zboncak MD,1,69,48,4,4,3,443
Alize Abshire,1,46,41,3,4,4,344
Alize Haag,1,6,73,1,4,2,142
Alla Wilderman DDS,2,12,111,1,2,1,121
Allean Donnelly,1,27,58,2,4,3,243
Allean McDermott,1,5,59,1,4,3,143
Allean Torphy,1,16,22,2,4,4,244
Alleen Kulas,3,37,175,2,1,1,211
Allen Fritsch,1,31,79,2,4,2,242
Allen Howell,2,5,91,1,2,2,122
Allen Zieme,2,24,103,2,2,2,222
Allena Davis,1,45,72,3,4,2,342
Allene Nitzsche,2,72,140,4,2,1,421
Allene Torp PhD,1,46,75,3,4,2,342
Allie Mosciski,1,42,44,3,4,4,344
Allison Block,1,75,76,4,4,2,442
Ally Johnston,1,59,67,3,4,3,343
Allyn Haag,1,24,21,2,4,4,244
Allyn Mraz,1,80,56,4,4,3,443
Allyn Rath,1,12,48,1,4,3,143
Allyson Barton,1,33,20,2,4,4,244
Allyssa Bergnaum,1,44,24,3,4,4,344
Almeda Yost,1,75,76,4,4,2,442
Almedia Lesch PhD,1,81,54,4,4,3,443
Almedia Yundt,3,11,172,1,1,1,111
Almer Mayert,1,26,57,2,4,3,243
Almer Sanford,4,5,225,1,1,1,111
Almeta Feest,1,75,68,4,4,2,442
Almina Becker,1,17,52,2,4,3,243
Almina Beer,3,49,185,3,1,1,311
Almira Bergnaum,2,5,113,1,2,1,121
Almira Wilkinson,1,4,24,1,4,4,144
Almon Brakus,1,77,79,4,4,2,442
Almon Cremin,1,19,51,2,4,3,243
Almond Goldner DDS,3,49,193,3,1,1,311
Almond Raynor DDS,3,4,216,1,1,1,111
Almond Torp,2,12,93,1,2,2,122
Almyra Koelpin MD,1,11,79,1,4,2,142
Almyra Okuneva,5,39,211,3,1,1,311
Alois Bode,1,56,38,3,4,4,344
Aloma Corkery MD,1,46,76,3,4,2,342
Aloma Gibson,1,60,55,4,4,3,443
Aloma Kilback,1,39,63,3,4,3,343
Alonza White,1,10,69,1,4,2,142
Alonzo Carroll,1,72,31,4,4,4,444
Alonzo Herman DDS,2,81,87,4,2,2,422
Aloys Brown,1,25,72,2,4,2,242
Aloys Reinger,1,21,22,2,4,4,244
Aloysius McDermott,2,10,91,1,2,2,122
Alpha Thiel,1,46,65,3,4,3,343
Alpheus Wilkinson,1,81,46,4,4,3,443
Alphons Grady,3,4,109,1,1,1,111
Alphons Heidenreich,1,46,68,3,4,2,342
Alphons Jones Jr.,1,80,25,4,4,4,444
Alphons Moore,1,19,45,2,4,3,243
Alphons Thompson,2,12,109,1,2,1,121
Alphonse Champlin V,11,3,493,1,1,1,111
Alphonse Hermann,4,2,206,1,1,1,111
Alphonsine Hermann,3,39,105,3,1,2,312
Alphonso Hartmann,3,5,149,1,1,1,111
Alphonso Hilll,1,46,53,3,4,3,343
Altha Bartell,2,40,67,3,2,3,323
Altha Moen,1,5,29,1,4,4,144
Althea Mills,2,14,63,2,2,3,223
Althea Stokes PhD,3,21,166,2,1,1,211
Althea Torphy,4,11,161,1,1,1,111
Alto Gerlach,2,87,65,4,2,3,423
Alto Keebler,7,2,368,1,1,1,111
Alto Kirlin,1,89,67,4,4,3,443
Alton Senger,1,55,68,3,4,2,342
Alton Wintheiser,1,47,36,3,4,4,344
Alvah Bechtelar,1,88,24,4,4,4,444
Alvah Bogisich,2,25,83,2,2,2,222
Alvah Hirthe,1,43,64,3,4,3,343
Alvan Rau,2,23,82,2,2,2,222
Alvena Cummerata DDS,1,11,59,1,4,3,143
Alver Beahan,1,73,53,4,4,3,443
Alver Larkin,1,72,78,4,4,2,442
Alvera Bailey,2,59,68,3,2,2,322
Alvera Balistreri,5,5,198,1,1,1,111
Alvera Braun,4,11,165,1,1,1,111
Alverda Gaylord,1,90,45,4,4,3,443
Alvie Herman,1,3,47,1,4,3,143
Alvie Tillman,1,88,58,4,4,3,443
Alvin Kirlin PhD,1,80,78,4,4,2,442
Alvina Gulgowski,1,74,63,4,4,3,443
Alvina Yundt,1,3,25,1,4,4,144
Alvis Kunde,1,53,29,3,4,4,344
Alvis O'Connell,4,4,129,1,1,1,111
Alvy Boehm,1,11,39,1,4,4,144
Alvy Cummerata,3,42,121,3,1,1,311
Alvy Farrell,1,5,31,1,4,4,144
Alwilda Price,1,84,51,4,4,3,443
Alwilda Swaniawski MD,2,5,83,1,2,2,122
Alwin Carroll,1,44,27,3,4,4,344
Alwin Hane,4,3,253,1,1,1,111
Alwin Schulist Sr.,1,53,23,3,4,4,344
Alwina Wilkinson DDS,2,17,95,2,2,2,222
Alyce Mertz,2,10,52,1,2,3,123
Alys Lakin,1,62,26,4,4,4,444
Alysa Crooks,2,81,140,4,2,1,421
Alysa Fahey,1,85,64,4,4,3,443
Alyse Pacocha,1,81,55,4,4,3,443
Alysia Carroll,2,11,134,1,2,1,121
Alysia Carroll PhD,3,10,196,1,1,1,111
Alyson Baumbach,2,38,103,2,2,2,222
Alyssa Feeney,1,43,48,3,4,3,343
Alyssa Jewess,1,41,41,3,4,4,344
Alyssa Reilly,1,20,80,2,4,2,242
Alyssia Fadel,3,74,80,4,1,2,412
Alyssia Hickle,1,33,73,2,4,2,242
Alyssia Konopelski,1,83,61,4,4,3,443
Alyssia Russel,1,28,73,2,4,2,242
Alyvia Hand,1,23,76,2,4,2,242
Alyvia Kihn,1,57,70,3,4,2,342
Alzina McGlynn,1,47,62,3,4,3,343
Ama Nicolas,1,50,41,3,4,4,344
Amado Hackett,1,8,62,1,4,3,143
Amalie Bruen,1,12,77,1,4,2,142
Amalie Lakin,1,40,45,3,4,3,343
Amalie O'Hara,1,80,61,4,4,3,443
Amanda Monahan,2,5,70,1,2,2,122
Amani Shanahan,2,6,93,1,2,2,122
Amani Tromp,3,10,196,1,1,1,111
Amare Bartoletti,3,4,159,1,1,1,111
Amari Abshire,1,19,66,2,4,3,243
Amari Heller,1,30,38,2,4,4,244
Amari Olson DVM,1,39,58,3,4,3,343
Amari Roob,2,18,95,2,2,2,222
Amari Stokes,6,5,278,1,1,1,111
Amarion Adams,2,12,90,1,2,2,122
Amaris Pfannerstill,4,37,160,2,1,1,211
Amaris Wehner,2,32,80,2,2,2,222
Amber Gottlieb,1,9,79,1,4,2,142
Amber Hackett,1,4,64,1,4,3,143
Amberly Armstrong,1,90,59,4,4,3,443
Amberly Donnelly DVM,1,45,71,3,4,2,342
Amberly Stoltenberg,2,30,93,2,2,2,222
Ambers Luettgen,1,20,20,2,4,4,244
Ambers Schimmel,2,81,120,4,2,1,421
Ambers Turcotte,1,45,45,3,4,3,343
Ambrose Greenfelder,2,12,100,1,2,2,122
Ambrose Kunze,2,12,118,1,2,1,121
Amelia Carroll,1,47,50,3,4,3,343
Amelia Grimes,1,70,66,4,4,3,443
Amelie Orn,2,81,107,4,2,1,421
America Zboncak,3,8,145,1,1,1,111
Ami Collier,1,4,38,1,4,4,144
Ami Fadel,1,51,74,3,4,2,342
Amiah McClure,1,43,20,3,4,4,344
Amie Bernhard,1,77,66,4,4,3,443
Amie Langosh,1,68,21,4,4,4,444
Amie Leuschke,1,88,54,4,4,3,443
Amie Wehner,3,67,194,4,1,1,411
Amie Weimann,3,17,163,2,1,1,211
Amina Hoeger,1,85,63,4,4,3,443
Amina Renner,2,2,75,1,2,2,122
Amir Dietrich,1,17,64,2,4,3,243
Amir Tillman,2,6,62,1,2,3,123
Amirah Haley,1,15,72,2,4,2,242
Amit Langworth,1,14,42,2,4,4,244
Amit Prohaska,4,79,203,4,1,1,411
Amiya Collier,1,47,59,3,4,3,343
Amiyah Nienow,4,23,259,2,1,1,211
Ammie Jerde,1,10,23,1,4,4,144
Ammon Mayert II,1,70,44,4,4,4,444
Ammon Mohr,2,12,78,1,2,2,122
Ammon Waelchi,2,40,130,3,2,1,321
Amon Dickens,1,86,41,4,4,4,444
Amon Volkman,1,80,75,4,4,2,442
Amos Homenick,1,12,68,1,4,2,142
Amparo Schmeler,2,0,120,1,2,1,121
Amya Von,1,72,56,4,4,3,443
Ana Connelly DDS,1,74,39,4,4,4,444
Anabel Jakubowski PhD,1,47,21,3,4,4,344
Anabel Weissnat,5,6,214,1,1,1,111
Anabel West,1,52,27,3,4,4,344
Anabella Hansen PhD,1,17,74,2,4,2,242
Anabella Schimmel,1,5,46,1,4,3,143
Anabella Tromp,1,4,46,1,4,3,143
Anabelle Quigley,1,33,61,2,4,3,243
Anahi Hartmann,1,6,22,1,4,4,144
Analia Gulgowski,1,55,45,3,4,3,343
Analia Upton,2,20,92,2,2,2,222
Ananias Kulas,1,21,73,2,4,2,242
Anastacia Cummings DDS,1,39,22,3,4,4,344
Anastacio Abshire MD,1,44,28,3,4,4,344
Anastacio Schinner,2,30,84,2,2,2,222
Anastacio Yundt,1,40,44,3,4,4,344
Anastasia Howe,1,85,68,4,4,2,442
Anaya D'Amore,1,76,71,4,4,2,442
Anaya Schuster,1,89,37,4,4,4,444
Ancel Bailey I,2,12,92,1,2,2,122
Anders Lesch,1,52,69,3,4,2,342
Anderson Buckridge,7,3,320,1,1,1,111
Anderson Quitzon,2,36,89,2,2,2,222
Andon Marvin,2,70,134,4,2,1,421
Andon Williamson PhD,1,74,50,4,4,3,443
Andra Bogisich,1,32,56,2,4,3,243
Andra Bosco,1,47,28,3,4,4,344
Andra Goodwin,1,3,80,1,4,2,142
Andra Kuvalis,1,64,69,4,4,2,442
Andra Wisozk II,3,12,162,1,1,1,111
Andrae Gerlach,2,11,88,1,2,2,122
Andrae Kreiger II,1,21,77,2,4,2,242
Andre Bergstrom,1,40,61,3,4,3,343
Andreas Hilll,1,70,78,4,4,2,442
Andrew Lubowitz,1,21,73,2,4,2,242
Andria Lubowitz,1,68,24,4,4,4,444
Andy Morissette,2,6,126,1,2,1,121
Andy Spinka,2,14,78,2,2,2,222
Anfernee Price I,1,9,40,1,4,4,144
Angel Bernier,1,60,35,4,4,4,444
Angel Haley,4,1,220,1,1,1,111
Angel Hermiston,1,0,45,1,4,3,143
Angel Kshlerin,1,47,70,3,4,2,342
Angel McLaughlin,1,50,61,3,4,3,343
Angele Bashirian,1,88,50,4,4,3,443
Angele Fisher,1,59,29,3,4,4,344
Angele Hackett,1,68,35,4,4,4,444
Angele Reilly,2,12,118,1,2,1,121
Angeles Gislason DVM,1,87,79,4,4,2,442
Angeles McLaughlin PhD,4,2,203,1,1,1,111
Angelia Koss,1,46,38,3,4,4,344
Angelia Stark,2,11,73,1,2,2,122
Angelic Kuhlman,2,81,113,4,2,1,421
Angeline Howe,1,56,47,3,4,3,343
Angeline Will,3,6,107,1,1,1,111
Angelique Hegmann,1,54,52,3,4,3,343
Angelique Jacobi,1,86,44,4,4,4,444
Angelita Mertz DVM,1,89,62,4,4,3,443
Angelita Mills,8,4,404,1,1,1,111
Angelo Langosh,1,84,32,4,4,4,444
Angelo Upton DVM,1,11,71,1,4,2,142
Angus Eichmann,1,81,51,4,4,3,443
Angus Goodwin,1,42,20,3,4,4,344
Angus Mitchell,12,3,628,1,1,1,111
Angus Williamson,1,66,57,4,4,3,443
Anie Hettinger,2,47,159,3,2,1,321
Anika Howe,2,28,105,2,2,2,222
Anissa Fritsch,1,75,62,4,4,3,443
Anissa Jewess,5,15,226,2,1,1,211
Anissa Pouros,2,6,68,1,2,2,122
Anissa Rutherford,6,3,283,1,1,1,111
Anita Greenfelder,1,77,54,4,4,3,443
Anita Smitham,1,32,30,2,4,4,244
Aniya Carter,2,15,106,2,2,2,222
Aniya Kuphal PhD,2,33,100,2,2,2,222
Aniya Waters MD,1,74,47,4,4,3,443
Anjanette Adams,1,37,50,2,4,3,243
Anjelica Klocko,1,33,29,2,4,4,244
Ann Dibbert,1,54,68,3,4,2,342
Ann Jacobi PhD,1,86,42,4,4,4,444
Ann Ledner,1,45,24,3,4,4,344
Ann Nienow,1,55,71,3,4,2,342
Annabel Kutch,1,87,34,4,4,4,444
Annabelle Conroy,1,24,58,2,4,3,243
Annabelle Parisian DVM,1,10,29,1,4,4,144
Annabelle Thiel,1,31,22,2,4,4,244
Annalise Abbott DVM,2,3,62,1,2,3,123
